iter	Passed	Remaining
722	7009	746
723	7109	746
724	7117	736
725	7127	726
726	7135	716
727	7280	720
728	7291	710
729	7297	699
730	7307	689
731	7312	679
732	7327	669
733	7333	659
734	7340	649
735	7348	638
736	7355	628
737	7367	618
738	7389	609
739	7395	599
740	7403	589
741	7408	579
742	7418	569
743	7424	558
744	7432	548
745	7439	538
746	7447	528
747	7454	518
748	7461	508
749	7470	498
750	7479	488
751	7485	477
752	7491	467
753	7498	457
754	7504	447
755	7518	437
756	7531	427
757	7539	417
758	7558	408
759	7566	398
760	7573	388
761	7582	378
762	7589	368
763	7600	358
764	7607	348
765	7633	338
766	7639	328
767	7654	318
768	7680	309
769	7686	299
770	7697	289
771	7704	279
772	7716	269
773	7724	259
774	7732	249
775	7738	239
776	7748	229
777	7754	219
778	7765	209
779	7779	199
780	7785	189
781	7795	179
782	7802	169
783	7856	160
